"602527093482","602527093482","UPC_A","1407100292512","3 Aug 2014 23:11:32",""
"5099386076322","5099386076322","EAN_13","1407100284830","3 Aug 2014 23:11:24",""
"5906485780824","5906485780824","EAN_13","1407100270856","3 Aug 2014 23:11:10",""
"827170154025","827170154025","UPC_A","1407100263529","3 Aug 2014 23:11:03",""
"657036111226","657036111226","UPC_A","1407100256347","3 Aug 2014 23:10:56",""
"720642482421","720642482421","UPC_A","1407100249301","3 Aug 2014 23:10:49",""
"720642496329","720642496329","UPC_A","1407100241895","3 Aug 2014 23:10:41",""
"5025425505928","5025425505928","EAN_13","1407100234689","3 Aug 2014 23:10:34",""
"008811079321","008811079321","UPC_A","1407100227155","3 Aug 2014 23:10:27",""
"4029758633229","4029758633229","EAN_13","1407100217000","3 Aug 2014 23:10:17",""
"731455908121","731455908121","UPC_A","1407100199482","3 Aug 2014 23:09:59",""
"5099748361721","5099748361721","EAN_13","1407100177752","3 Aug 2014 23:09:37",""
